ID	V1	V2	V3	V4	V5
1	13.57557	12.656892	-1.424328	-2.302774	404.9216
2	13.844373	12.61062	-1.435429	-1.964423	404.97818
3	13.996934	12.669785	-1.384147	-1.830788	405.187378
4	14.060876	12.755087	-1.378407	-2.02023	404.892548
5	14.095317	12.877163	-1.363435	-2.072163	404.698822
6	13.975704	12.888503	-1.351579	-1.832351	404.479889
7	13.713181	12.836812	-1.338311	-1.997729	403.891724
8	13.834728	12.809576	-1.333899	-2.002055	403.270264
9	13.74447	12.770656	-1.343199	-2.241165	402.820709
10	13.98254	12.697198	-1.372424	-1.922313	402.43396
11	14.06413	12.691656	-1.377368	-1.752657	403.218475
12	14.035974	12.764489	-1.354782	-1.970408	402.41156
13	14.037183	12.913648	-1.322078	-2.069336	402.292755
14	13.985688	12.95496	-1.345922	-1.613702	404.184143
15	14.054778	12.94131	-1.384624	-1.703977	399.970612
16	13.915499	13.089429	-1.313017	-1.429557	399.338287
17	14.590042	13.462692	-1.290192	-1.537785	399.777039
18	15.501397	14.348173	-1.275527	-1.680045	399.398071
19	15.630893	15.530425	-1.280694	-1.917952	400.034485
20	16.43549	17.209114	-1.305744	-1.094125	399.9599
21	17.712494	18.899221	-1.241273	-0.840588	400.101593
22	18.821959	20.326984	-1.17292	-0.447754	400.738281
23	19.58794	21.481361	-1.078596	-0.072788	400.395752
24	20.475615	22.537483	-1.028871	-0.033867	401.028748
25	21.289591	23.900606	-0.880854	-0.108455	401.458344
26	21.673056	24.72303	-0.811716	-0.208644	401.432739
27	22.013571	25.73547	-0.754327	0.071878	401.266418
28	22.406721	26.740444	-0.684258	-0.206821	400.961426
29	23.354475	27.662069	-0.608018	0.005769	401.598053
30	23.670933	28.595022	-0.597577	-0.063232	402.439911
31	24.488752	29.459187	-0.546825	0.164685	402.904144
32	26.05299	30.403269	-0.537382	0.376749	402.657532
33	26.084076	31.241245	-0.478907	-0.208661	402.161804
34	25.407419	32.050552	-0.487475	-1.079664	402.070679
35	25.917599	32.811741	-0.456661	-1.109712	401.736969
36	25.584444	33.583923	-0.46213	-1.745691	401.345886
37	25.974791	34.257103	-0.488735	-1.964634	401.3974
38	26.520786	34.9837	-0.494407	-1.709717	401.537109
39	27.002375	35.698647	-0.455533	-1.768521	401.779419
40	27.274006	36.281414	-0.45409	-1.871701	402.130096
41	27.574127	36.887093	-0.455334	-1.867239	402.244263
42	27.998489	37.405323	-0.468364	-1.735369	402.304993
43	28.354273	37.960499	-0.446946	-1.580987	401.577148
44	28.745594	38.594234	-0.422443	-1.375698	401.379547
45	28.938086	39.124252	-0.372332	-1.020644	401.620697
46	29.368256	39.695183	-0.217842	-0.579999	401.607971
47	29.523222	40.088272	-0.13472	-0.874534	401.440002
48	29.855333	40.546436	-0.056152	-0.582082	401.764648
49	30.129225	41.087482	0.000267	-0.684207	401.342194
50	30.350569	41.598507	0.025237	-1.087737	401.150391
51	30.116142	41.985039	0.043105	-1.583485	400.389771
52	30.622221	42.504429	0.038709	-1.308661	402.249786
53	31.288	42.95422	0.034401	-1.281403	404.086761
54	31.564089	43.508118	0.024454	-0.91354	404.768768
55	31.841661	43.917099	0.04893	-0.718494	405.20871
56	32.250202	44.262054	0.081998	-0.814419	405.239777
57	32.3255	44.745316	0.120469	-0.794752	405.30304
58	32.506596	45.078056	0.150686	-0.361822	404.325165
59	32.74358	45.492115	0.206776	0.048675	404.122589
60	32.98621	45.76268	0.264278	-0.400946	403.78537
61	32.79134	45.939537	0.3466	-0.873683	403.6427
62	32.973595	46.169399	0.362662	-1.166941	404.307495
63	33.027912	46.516262	0.399829	-1.016113	404.559265
64	33.650406	45.782143	0.376717	-0.284213	404.705597
65	32.726631	44.333252	0.410645	-1.0705	405.047791
66	32.134151	43.4576	0.349734	-1.459126	404.226288
67	31.618256	42.537575	0.307884	-0.894157	403.682587
68	30.526619	41.057735	0.275677	-2.00229	404.347473
69	29.337902	39.651356	0.181669	-1.796875	404.595886
70	29.223303	38.793774	0.161825	-1.566418	405.242859
71	28.64101	37.960533	0.11369	-1.790999	405.651428
72	28.247475	37.292381	0.084793	-0.990403	406.138794
73	27.824276	36.63623	0.100353	-0.519344	405.5914
74	27.472918	36.113213	0.137945	-1.290942	403.597626
75	26.925934	35.181862	0.107814	-1.218194	402.226013
76	26.040895	34.02404	0.056714	-1.616887	402.751495
77	24.864527	33.282715	-0.014345	-1.836796	403.353119
78	24.716303	33.056885	-0.076007	-1.349025	403.122131
79	24.515398	32.916157	-0.113327	-1.480826	403.714935
80	24.175316	32.546352	-0.149437	-2.159884	403.940002
81	23.601984	32.092068	-0.20661	-2.27529	404.542114
82	23.381966	31.651384	-0.271376	-2.076439	404.414703
83	23.136383	31.111027	-0.346424	-1.937296	404.563263
84	22.957588	30.787928	-0.352846	-1.924146	405.182281
85	22.688494	30.457418	-0.381533	-2.542161	406.659882
86	22.374035	29.920057	-0.45983	-2.569461	406.52597
87	22.226017	29.465599	-0.549526	-2.491177	406.685272
88	21.993977	29.019367	-0.642612	-2.514103	406.639526
89	21.701323	28.662312	-0.689302	-2.678812	405.207489
90	21.52216	28.338367	-0.725495	-2.746741	405.615326
91	21.149204	27.997774	-0.787649	-3.45007	405.324982
92	20.846083	27.674265	-0.848491	-3.063726	404.881226
93	20.848902	27.365925	-0.896552	-3.354374	404.678284
94	20.821608	27.082844	-0.970022	-3.24397	404.602966
95	20.866745	26.674253	-1.032346	-3.041396	404.534882
96	20.433628	26.52099	-0.975694	-3.702926	404.443726
97	19.866867	26.206982	-1.004714	-3.748788	404.847198
98	20.07917	25.997751	-0.994004	-3.454278	404.861786
99	19.725649	25.558435	-1.067093	-3.651026	404.675232
100	19.714252	25.40575	-1.055017	-3.517215	404.111969
101	19.708664	25.068966	-1.145323	-3.270255	403.975616
102	19.534452	24.846657	-1.182526	-2.238168	403.760864
103	19.690033	24.531954	-1.307651	-3.24225	403.718018
104	19.444654	24.176611	-1.453114	-3.118675	403.33194
105	19.476692	23.995413	-1.566094	-3.124347	402.574799
106	19.711325	23.732708	-1.709607	-2.114174	403.883209
107	19.825428	23.460386	-1.879315	-3.109307	403.604614
108	19.32159	23.215366	-2.12483	-2.362543	403.433319
109	19.593353	23.036093	-2.35062	-2.416265	403.144409
110	19.514666	22.771753	-2.614965	-2.380893	402.888733
111	20.133692	22.577972	-2.78728	-2.394276	402.974304
112	18.692474	22.790731	-2.869703	-2.372916	403.863678
113	19.591036	23.281914	-2.919848	-2.315736	403.453888
114	20.035376	23.655661	-3.049165	-1.994124	401.518188
115	20.174196	23.963152	-3.074355	-1.410633	401.621368
116	20.50239	24.870605	-3.074491	-1.491676	403.387115
117	20.910027	26.503277	-3.019355	-1.336471	403.549591
118	21.688107	27.866396	-2.997154	-1.35392	403.445404
119	22.277832	28.95912	-2.982291	-1.467847	403.138885
120	23.008226	29.836613	-2.967898	-0.487305	403.839111
121	23.921507	30.783499	-2.885969	-0.475024	404.57782
122	24.53524	31.51251	-2.805176	-0.269733	403.344543
123	24.556499	32.337051	-2.728226	-0.115098	403.221252
124	25.175497	33.074974	-2.661746	-0.345573	403.221924
125	25.459745	33.892715	-2.621514	0.015511	403.437683
