"ID"	"Xcoord"	"ycoord"	"V1"	"V2"	"V3"	"v4"	"V5"
1	407668	152556	13.57557	12.656892	-1.424328	-2.302774	404.9216
2	659822	228797	13.844373	12.61062	-1.435429	-1.964423	404.97818
3	669629	219261	13.996934	12.669785	-1.384147	-1.830788	405.187378
4	456200	237438	14.060876	12.755087	-1.378407	-2.02023	404.892548
5	680666	220679	14.095317	12.877163	-1.363435	-2.072163	404.698822
6	680040	141356	13.975704	12.888503	-1.351579	-1.832351	404.479889
7	751171	294844	13.713181	12.836812	-1.338311	-1.997729	403.891724
8	421232	75451	13.834728	12.809576	-1.333899	-2.002055	403.270264
9	558167	122068	13.74447	12.770656	-1.343199	-2.241165	402.820709
10	631407	289313	13.98254	12.697198	-1.372424	-1.922313	402.43396
11	530502	247900	14.06413	12.691656	-1.377368	-1.752657	403.218475
12	635520	164028	14.035974	12.764489	-1.354782	-1.970408	402.41156
13	440463	270280	14.037183	12.913648	-1.322078	-2.069336	402.292755
14	712343	130674	13.985688	12.95496	-1.345922	-1.613702	404.184143
15	693272	160895	14.054778	12.94131	-1.384624	-1.703977	399.970612
16	596162	290263	13.915499	13.089429	-1.313017	-1.429557	399.338287
17	728596	254885	14.590042	13.462692	-1.290192	-1.537785	399.777039
18	549208	258047	15.501397	14.348173	-1.275527	-1.680045	399.398071
19	486643	219681	15.630893	15.530425	-1.280694	-1.917952	400.034485
20	726418	86016	16.43549	17.209114	-1.305744	-1.094125	399.9599
21	454694	205185	17.712494	18.899221	-1.241273	-0.840588	400.101593
22	687179	286578	18.821959	20.326984	-1.17292	-0.447754	400.738281
23	414627	255059	19.58794	21.481361	-1.078596	-0.072788	400.395752
24	651169	249141	20.475615	22.537483	-1.028871	-0.033867	401.028748
25	536253	257860	21.289591	23.900606	-0.880854	-0.108455	401.458344
26	703951	207676	21.673056	24.72303	-0.811716	-0.208644	401.432739
27	725520	289055	22.013571	25.73547	-0.754327	0.071878	401.266418
28	765148	134307	22.406721	26.740444	-0.684258	-0.206821	400.961426
29	538683	210725	23.354475	27.662069	-0.608018	0.005769	401.598053
30	746846	265781	23.670933	28.595022	-0.597577	-0.063232	402.439911
31	471927	107972	24.488752	29.459187	-0.546825	0.164685	402.904144
32	463373	213375	26.05299	30.403269	-0.537382	0.376749	402.657532
33	429245	234046	26.084076	31.241245	-0.478907	-0.208661	402.161804
34	541080	136915	25.407419	32.050552	-0.487475	-1.079664	402.070679
35	640063	234687	25.917599	32.811741	-0.456661	-1.109712	401.736969
36	464166	200178	25.584444	33.583923	-0.46213	-1.745691	401.345886
37	779717	195656	25.974791	34.257103	-0.488735	-1.964634	401.3974
38	697405	281861	26.520786	34.9837	-0.494407	-1.709717	401.537109
39	482664	115293	27.002375	35.698647	-0.455533	-1.768521	401.779419
40	418685	174360	27.274006	36.281414	-0.45409	-1.871701	402.130096
41	536482	121636	27.574127	36.887093	-0.455334	-1.867239	402.244263
