"ID"	"X"	"Y"	"L"
1	2.59	11.85	10.88
2	17.15	10.96	90.06
3	3.01	10.31	10.33
4	8.65	5.87	52.33
5	14.35	7.77	49.93
6	10.71	7.74	94.99
7	17.09	11.33	90.85
8	16.28	7.06	47.37
9	4.99	14.31	10.85
10	17.03	9.7	22.16
11	8.8	1.24	94.95
12	11.4	10.62	82
13	5.23	12.48	58.97
14	17.85	7.43	82.92
15	19.56	12.96	90.65
16	6.48	13.99	30.55
17	18.58	7.02	73.8
18	2.12	2.58	90.18
19	5.11	5.48	69.08
20	5.82	6.17	37.93
21	7.31	6.53	53.82
22	2.67	6.23	22.58
23	4.49	1.66	90.98
24	10.33	4.47	60.35
25	17.79	0.67	10.3
26	2.41	5.24	34.37
27	18.62	2.77	10.04
28	4.03	13.47	10.57
29	13.92	5.25	38.66
30	15.52	1.94	90.83
31	15.57	0.01	10.77
32	12.79	7.35	2.97
33	7.15	12.5	11.27
34	14.92	13.47	64.49
35	4.07	12.77	10.06
36	12.14	4.34	44.4
37	5.54	6.37	3.69
38	17.27	3.46	10.44
39	6.91	6.38	41.42
40	16.04	3.03	10.69
41	3.21	8.4	60.76
42	4.7	14.22	10.06
43	15.48	6.12	56.82
44	1.25	1.25	90.44
45	6.99	6.69	91.44
46	3.76	4.96	90.83
47	17.59	13.79	90.91
48	9.03	2.44	95.66
49	3.96	1.86	90.59
50	9.08	1.54	73.32
51	16.3	0.74	90.49
52	19.3	3.62	90.61
53	0.77	12.01	10.37
54	4.21	4.87	90.06
55	9.29	13.57	70.42
56	8.72	11.88	2.16
57	6.55	3.74	17.41
58	2.85	3.95	90.94
59	16.57	2.49	10.62
60	18.95	14.31	90.5
61	10.17	4.44	20.34
62	8.6	4.78	62.35
63	3.27	7.6	92.1
64	8.75	9.68	76.09
65	5.1	6.62	2.82
66	10.14	2.16	99.11
67	19.4	4.63	90.51
68	4.27	10.42	10.24
69	3.43	6.31	7.68
70	16.44	9.91	30.02
71	18.51	1.7	10.2
72	17.26	2.17	10.58
73	6.19	0.76	20.64
74	16.99	13.07	90.07
75	10.2	4.38	47.41
76	9.5	8.34	89.59
